國字,審定音
轉,ㄓㄨㄢˇ;ㄓㄨㄢˋ
轍,ㄓㄜˊ;ㄔㄜˋ
辟,ㄅ丨ˋ;ㄆ丨ˋ
追,ㄉㄨㄟ;ㄓㄨㄟ
逢,ㄆㄥˊ;ㄈㄥˊ
逮,ㄉㄞˇ;ㄉㄞˋ
過,ㄍㄨㄛ;ㄍㄨㄛˋ
遠,ㄩㄢˇ;ㄩㄢˋ
適,ㄉ丨ˊ;ㄕˋ
遺,丨ˊ;ㄨㄟˋ
還,ㄏㄞˊ;ㄏㄨㄢˊ
邪,ㄒ丨ㄝˊ;丨ㄝˊ
那,ㄋㄚ;ㄋㄚˇ;ㄋㄚˋ;ㄋㄨㄛˊ
都,ㄉㄡ;ㄉㄨ
酊,ㄉ丨ㄥ;ㄉ丨ㄥˇ
酢,ㄗㄨㄛˋ;ㄘㄨˋ
重,ㄓㄨㄥˋ;ㄔㄨㄥˊ
量,ㄌ丨ㄤˊ;ㄌ丨ㄤˋ
釐,ㄌ丨ˊ;ㄒ丨
釘,ㄉ丨ㄥ;ㄉ丨ㄥˋ
鈷,ㄍㄨˇ;ㄍㄨ
鉛,ㄑ丨ㄢ;丨ㄢˊ
銻,ㄊ丨ˋ;ㄊ丨
鋪,ㄆㄨ;ㄆㄨˋ
鋼,ㄍㄤ;ㄍㄤˋ
鏑,ㄉ丨ˊ;ㄉ丨
鐺,ㄉㄤ;ㄔㄥ
鑽,ㄗㄨㄢ;ㄗㄨㄢˋ
長,ㄓㄤˇ;ㄓㄤˋ;ㄔㄤˊ
間,ㄐ丨ㄢ;ㄐ丨ㄢˋ
閤,ㄍㄜˊ;ㄏㄜˊ
闕,ㄑㄩㄝˋ;ㄑㄩㄝ
阿,ㄜ;ㄚ
降,ㄐ丨ㄤˋ;ㄒ丨ㄤˊ
陸,ㄌ丨ㄡˋ;ㄌㄨˋ
陶,ㄊㄠˊ;丨ㄠˊ
雅,丨ㄚ;丨ㄚˇ
雋,ㄐㄩㄢˋ;ㄐㄩㄣˋ
難,ㄋㄢˊ;ㄋㄢˋ;ㄋㄨㄛˊ
雨,ㄩˇ;ㄩˋ
霸,ㄅㄚˋ;ㄆㄛˋ
露,ㄌㄡˋ;ㄌㄨˋ
靦,ㄇ丨ㄢˇ;ㄊ丨ㄢˇ
靶,ㄅㄚˇ;ㄅㄚˋ
頓,ㄉㄨㄣˋ;ㄉㄨˊ
頡,ㄐ丨ㄝˊ;ㄒ丨ㄝˊ
頦,ㄎㄜ;ㄏㄞˊ
頸,ㄐ丨ㄥˇ;ㄍㄥˇ
頭,ㄊㄡˊ;˙ㄊㄡ
風,ㄈㄥ;ㄈㄥˋ
食,ㄕˊ;ㄙˋ;丨ˋ
飲,丨ㄣˇ;丨ㄣˋ
養,丨ㄤˇ;丨ㄤˋ
馮,ㄆ丨ㄥˊ;ㄈㄥˊ
馱,ㄉㄨㄛˋ;ㄊㄨㄛˊ
騎,ㄐ丨ˋ;ㄑ丨ˊ
骨,ㄍㄨ;ㄍㄨˇ;ㄍㄨˊ
鬲,ㄌ丨ˋ;ㄍㄜˊ
魄,ㄆㄛˋ;ㄊㄨㄛˋ
魟,ㄏㄨㄥ;ㄍㄨㄥ
鮮,ㄒ丨ㄢ;ㄒ丨ㄢˇ
鮭,ㄍㄨㄟ;ㄒ丨ㄝˊ 
鰓,ㄒ丨ˇ;ㄙㄞ
鱣,ㄓㄢ;ㄕㄢˋ
鴝,ㄍㄡ;ㄑㄩˊ 
鵠,ㄍㄨˇ;ㄏㄨˊ
鹽,丨ㄢˊ;丨ㄢˋ
麗,ㄌ丨ˊ;ㄌ丨ˋ
麼,ㄇㄛˊ;ㄇㄚˊ;˙ㄇㄜ
齊,ㄐ丨ˋ;ㄑ丨ˊ;ㄗ
龜,ㄍㄨㄟ;ㄐㄩㄣ;ㄑ丨ㄡ
